"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"22uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C2";"22uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C3";"10uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C4";"10uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C5";"10uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"IC1";"ATMEGA168PROUND";"ATMEGA168PROUND";"DIL28-3-ROUND";"MICROCONTROLLER";"";"";"";"";
"IC4";"74LS595N";"74LS595N";"DIL16";"8-bit SHIFT REGISTER, output latch";"";"";"";"";
"IC5";"74LS595N";"74LS595N";"DIL16";"8-bit SHIFT REGISTER, output latch";"";"";"";"";
"IC6";"4021N";"4021N";"DIL16";"8-bit static SHIFT REGISTER";"";"";"";"";
"IC7";"4021N";"4021N";"DIL16";"8-bit static SHIFT REGISTER";"";"";"";"";
"IC8";"74LS14N";"74LS14N";"DIL14";"Hex schmitt trigger INVERTER";"";"";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";
"Q1";"16MHz";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";"";"1667008";"unknown";
"R1";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R2";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R3";"220";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R4";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R5";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R6";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R7";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R8";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R9";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R10";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R11";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R12";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R13";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R15";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R16";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R17";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R18";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R19";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R20";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R21";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R22";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"S1";"SPST";"SPST";"JUDCOSPST";"Judco 50-0015-00";"";"";"";"";
"X1";"5566-16";"5566-16";"5566-16";"Mini FIT connector 16 pol";"";"";"unknown";"unknown";
"X2";"5566-16";"5566-16";"5566-16";"Mini FIT connector 16 pol";"";"";"unknown";"unknown";
"X3";"5566-2";"5566-2";"5566-2";"Mini FIT connector 2 pol";"";"";"1822072";"unknown";
"X4";"5566-6";"5566-6";"5566-6";"Mini FIT connector 6 pol";"";"95566-61002";"unknown";"22K8620";
"X5";"5566-6";"5566-6";"5566-6";"Mini FIT connector 6 pol";"";"95566-61002";"unknown";"22K8620";
"X6";"5566-8";"5566-8";"5566-8";"Mini FIT connector 8 pol";"";"";"unknown";"unknown";
"X7";"5566-4";"5566-4";"5566-4";"Mini FIT connector 4 pol";"";"";"unknown";"unknown";
